session.id	speaker.id	word.id	morphemes	word.transcription	glosses	types	ids	record.id	subcorpus	genre	spkr.age	pref.seq	cat.seq	bigram.type
clldch3r14s01	3	745926	a mai hid th u ŋs e	amaihitoŋse	2S/A NEG be.finished NEG 3P PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	654 1199 126 2458 2459 6702 1234	CLLDCh3R14S01.0280	CLLD	Conversation	13059	a.mai	ag.neg	"ag,neg"
clldch3r14s01	3	746072	a mai hid th u ŋs e ʔ	amaihitoŋseʔ	2S/A NEG be.finished NEG 3P PRF IND.PST EMPH	prefix prefix stem suffix suffix suffix suffix suffix	654 1199 126 2458 2459 6702 1234 6766	CLLDCh3R14S01.0335	CLLD	Conversation	13059	a.mai	ag.neg	"ag,neg"
clldch3r14s01	3	746101	a mai hid th u ŋs e ʔ	amaihitoŋseʔ	2S/A NEG be.finished NEG 3P PRF IND.PST EMPH	prefix prefix stem suffix suffix suffix suffix suffix	654 1199 126 2458 2459 6702 1234 6766	CLLDCh3R14S01.0346	CLLD	Conversation	13059	a.mai	ag.neg	"ag,neg"
clldch3r03s02b	3	598849	a mai khag th e	amaikhaŋteʔ	2S/A NEG see NEG IND.PST	prefix prefix stem suffix suffix	654 1199 1366 2458 1234	CLLDCh3R03S02b.0200	CLLD	Conversation	12622	a.mai	ag.neg	"ag,neg"
clldch3r02s03	3	582848	a mai kat th e ʔ	amakaʔtheʔ	2S/A NEG come.up NEG IND.PST EMPH	prefix prefix stem suffix suffix suffix	654 1199 156 2458 1234 6766	CLLDCh3R02S03.0398	CLLD	Conversation	12595	a.mai	ag.neg	"ag,neg"
clldch3r09s06	3	685219	a ma lus yokt u ce	amaluyoktuce	2S/A NEG tell NEG 3P 3nsP	prefix prefix stem suffix suffix suffix	654 1199 1584 2460 2459 1204	CLLDCh3R09S06.563	CLLD	Conversation	12804	a.mai	ag.neg	"ag,neg"
clldch3r14s01	3	746046	a mai tas th e	amatate	2S/A NEG reach NEG IND.PST	prefix prefix stem suffix suffix	654 1199 2206 2458 1234	CLLDCh3R14S01.0318	CLLD	Conversation	13059	a.mai	ag.neg	"ag,neg"
clldch3r02s03	3	586262	a mai pid a ŋs a ŋ e	amapitaŋsehẽ	2S/A NEG give PST PRF PST 1sS/P IND.PST	prefix prefix stem suffix suffix suffix suffix suffix	654 1199 363 1202 6702 1202 2875 1234	CLLDCh3R02S03.1715	CLLD	Conversation	12595	a.mai	ag.neg	"ag,neg"
clldch3r14s03	3	750010	a mai ta cekt yokt e	amatacekyokte	2S/A NEG FOC speak NEG IND.PST	prefix prefix stem stem suffix suffix	654 1199 496 45 2460 1234	CLLDCh3R14S03.335	CLLD	Conversation	13061	a.mai	ag.neg	"ag,neg"
clldch3r14s03	3	750014	a mai ta cekt yokt e	amatacekyokte	2S/A NEG FOC speak NEG IND.PST	prefix prefix stem stem suffix suffix	654 1199 496 45 2460 1234	CLLDCh3R14S03.337	CLLD	Conversation	13061	a.mai	ag.neg	"ag,neg"
clldch3r02s03	3	585519	a mai tok yokt e	amaitokokte	2S/A NEG get NEG IND.PST	prefix prefix stem suffix suffix	654 1199 523 2460 1234	CLLDCh3R02S03.1401	CLLD	Conversation	12595	a.mai	ag.neg	"ag,neg"
appa_kath_talk	4	267	u mai yug th a yakt e	umaiyuŋtakte	3nsS/A NEG be.there NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 2478 2458 1202 6674 1234	appa_katha_talk.046	adult	Narrative	7231	u.mai	ag.neg	"ag,neg"
clldch2r02s06	5	394291	a mai loĩs yokt a kha	amailoiyoktakha	2S/A NEG take.out NEG PST NMLZ	prefix prefix stem suffix suffix suffix	654 1199 1566 2460 1202 1335	CLLDCh2R02S06.1124	CLLD	Conversation	16580	a.mai	ag.neg	"ag,neg"
suntala_talk	6	1249510	mai u numd e	maiunumde	NEG 3nsS/A do IND.PST	prefix prefix stem suffix	1199 1201 1781 1234	suntala_talk.52	adult	Conversation	22390	mai.u	neg.ag	"ag,neg"
lh_bbb	6	1141944	kha mai u chitt yokt e	khamaiuchiyokte	1nsP NEG 3nsS/A find NEG IND.PST	prefix prefix prefix stem suffix suffix	655 1199 1201 79 2460 1234	LH_BBB.483	adult	Narrative	22428	kha.mai	pat.neg	"neg,pat"
lh_bbb	6	1141943	kha mai u chitt yokt e	khamaiuchiyokte	1nsP NEG 3nsS/A find NEG IND.PST	prefix prefix prefix stem suffix suffix	655 1199 1201 79 2460 1234	LH_BBB.482	adult	Narrative	22428	kha.mai	pat.neg	"neg,pat"
lh_bbb	6	1141001	kha u tett e	khautette	1nseP 3nsS/A apply IND.PST	prefix prefix stem suffix	655 1201 510 1234	LH_BBB.332	adult	Narrative	22428	kha.u	pat.ag	"ag,pat"
lh_bbb	6	1141944	kha mai u chitt yokt e	khamaiuchiyokte	1nsP NEG 3nsS/A find NEG IND.PST	prefix prefix prefix stem suffix suffix	655 1199 1201 79 2460 1234	LH_BBB.483	adult	Narrative	22428	mai.u	neg.ag	"ag,neg"
lh_bbb	6	1141943	kha mai u chitt yokt e	khamaiuchiyokte	1nsP NEG 3nsS/A find NEG IND.PST	prefix prefix prefix stem suffix suffix	655 1199 1201 79 2460 1234	LH_BBB.482	adult	Narrative	22428	mai.u	neg.ag	"ag,neg"
pear_3-1	7	1189565	mai u numd u ŋs u ce e	maiunumduŋsuce	1nsiP 3nsS/A do 3P PRF 3P 3nsP IND.PST	prefix prefix stem suffix suffix suffix suffix suffix	1198 1201 1781 2459 6702 2459 1204 1234	pear_3-1.0119	adult	Experimental	18742	mai1P.u	pat.ag	"ag,pat"
pear_3-1	7	1189916	mai u ta th a ŋs e	maiutataŋse	NEG 3nsS/A come NEG PST PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	1199 1201 2192 2458 1202 6702 1234	pear_3-1.0274	adult	Experimental	18742	mai.u	neg.ag	"ag,neg"
sudhar_khip	8	1248113	u mai ni yokt e	umaniyokte	3nsS/A NEG know NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 335 2460 1234	sudhar_khip.053a	adult	Ritual	19233	u.mai	ag.neg	"ag,neg"
chambak_int	8	7999	u mai pid yokt a yakt a ce e	umapioktaktace	3nsS/A NEG give NEG PST IPFV PST d IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix	1201 1199 363 2460 1202 6674 1202 1203 1234	Chambak_int.0932	adult	Conversation	19204	u.mai	ag.neg	"ag,neg"
chambak_int	8	8003	u mai pid yokt a yakt a ce e	umapioktaktace	3nsS/A NEG give NEG PST IPFV PST d IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix	1201 1199 363 2460 1202 6674 1202 1203 1234	Chambak_int.0935	adult	Conversation	19204	u.mai	ag.neg	"ag,neg"
chambak_int	8	9050	u mai chitt yokt e	umaichiʔakte	3nsS/A NEG find NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 79 2460 1234	Chambak_int.1205	adult	Conversation	19204	u.mai	ag.neg	"ag,neg"
chambak_int	8	9044	u mai chitt yokt e	umaichiʔakte	3nsS/A NEG meet NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 79 2460 1234	Chambak_int.1203	adult	Conversation	19204	u.mai	ag.neg	"ag,neg"
chambak_int	8	9089	a mai apt th a ŋ ni ŋ a	amaapthaŋnɨŋhã	2S/A NEG shoot NEG IMP 1sS/P 2/3p 1sS/P IMP	prefix prefix stem suffix suffix suffix suffix suffix suffix	654 1199 625 2458 1236 2875 2329 2875 1236	Chambak_int.1213	adult	Conversation	19204	a.mai	ag.neg	"ag,neg"
kothari_talk	9	1136351	na mai pid t e	namapite	3>2 NEG give NEG IND.PST	prefix prefix stem suffix suffix	1200 1199 363 2458 1234	kothari_talk.086	adult	Conversation	NA	na.mai	pat.neg	"neg,pat"
kothari_talk	9	1136896	na mai pid yokt a ŋs e	namapiyoktaŋse	3>2 NEG give NEG PST PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	1200 1199 363 2460 1202 6702 1234	kothari_talk.216	adult	Conversation	NA	na.mai	pat.neg	"neg,pat"
kothari_talk	9	1136464	na mai pid yokt e	namaipiyokte	3>2 NEG give NEG IND.PST	prefix prefix stem suffix suffix	1200 1199 363 2460 1234	kothari_talk.112	adult	Conversation	NA	na.mai	pat.neg	"neg,pat"
cldlch2r05s04	10	70454	a mai pid	amaipi	2S/A 1nsiP allow.to	prefix prefix stem	654 1198 363	CLDLCh2R05S04.303	CLDL	Conversation	10222	a.mai	ag.neg	"ag,neg"
clldch4r04s04	11	826270	mai a kukt th u ŋs e	maiakuktoŋse	NEG 2S/A bring.down NEG 3P PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	1199 654 1468 2458 2459 6702 1234	CLLDCh4R04S04.0168	CLLD	Conversation	2362	mai.a	neg.ag	"ag,neg"
pear_12-1	12	1182699	a mai khag yokt u ŋs e	amakhaŋyoktoŋseʔ	2S/A NEG see NEG 3P PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	654 1199 1366 2460 2459 6702 1234	pear_12-1.0178	adult	Experimental	8345	a.mai	ag.neg	"ag,neg"
clldch4r14s05	13	999852	a mai pid th a ŋs a ce e	amaipitaŋsace	2S/A NEG give NEG PST PRF PST d IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix	654 1199 363 2458 1202 6702 1202 1203 1234	CLLDCh4R14S05.0916	CLLD	Conversation	9780	a.mai	ag.neg	"ag,neg"
pear_8-2	14	1199138	na mai mett th e	namamette	3>2 NEG do.with/to NEG IND.PST	prefix prefix stem suffix suffix	1200 1199 294 2458 1234	pear_8-2.0268	adult	Experimental	6205	na.mai	pat.neg	"neg,pat"
picture_cards_2-3	15	1215306	u mai thatt yokt a ce e	umathaiʔyaktace	3nsS/A NEG hit NEG PST d IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 2262 2460 1202 1203 1234	picture_cards_2-3.0921	adult	Experimental	17806	u.mai	ag.neg	"ag,neg"
picture_cards_2-3	15	1215314	u mai thatt yokt a ce e	umatahaiʔyaktace	3nsS/A NEG hit NEG PST d IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 2262 2460 1202 1203 1234	picture_cards_2-3.0925	adult	Experimental	17806	u.mai	ag.neg	"ag,neg"
picture_cards_2-3	15	1215357	u mai thatt yokt e	umathaiʔyakte	3nsS/A NEG slap NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 2262 2460 1234	picture_cards_2-3.0938	adult	Experimental	17806	u.mai	ag.neg	"ag,neg"
cldlch2r05s01	16	65984	mai u rot th u ŋs u ce kha	maurottusucekha	NEG 3nsS/A fetch NEG 3P PRF 3P 3nsP NMLZ	prefix prefix stem suffix suffix suffix suffix suffix suffix	1199 1201 2040 2458 2459 6702 2459 1204 1335	CLDLCh2R05S01.0900	CLDL	Conversation	10948	mai.u	neg.ag	"ag,neg"
cldlch2r07s04	16	96301	mai a khat th e	maakhatte	NEG 2S/A go NEG IND.PST	prefix prefix stem suffix suffix	1199 654 1363 2458 1234	CLDLCh2R07S04.749	CLDL	Conversation	11112	mai.a	neg.ag	"ag,neg"
cldlch2r02s04	16	51169	mai a tat yokt e	maataiʔyokte	NEG 2S/A bring NEG IND.PST	prefix prefix stem suffix suffix	1199 654 2207 2460 1234	CLDLCh2R02S04.581	CLDL	Conversation	10738	mai.a	neg.ag	"ag,neg"
cldlch2r06s02	16	80024	na mai khutt yokt e	namakhuiʔyokte	3>2 NEG bring NEG IND.PST	prefix prefix stem suffix suffix	1200 1199 219 2460 1234	CLDLCh2R06S02.638	CLDL	Conversation	11038	na.mai	pat.neg	"neg,pat"
cldlch2r03s05	16	55875	u mai hams yokt a ŋs a ce e	umahayaktaŋsece	3nsS/A NEG separate NEG PST PRF PST d IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix	1201 1199 119 2460 1202 6702 1202 1203 1234	CLDLCh2R3S05.678	CLDL	Conversation	10797	u.mai	ag.neg	"ag,neg"
cldlch2r05s01	16	64630	u mai khag yokt a ŋs a ŋ e	umakhaŋoktaŋsehẽ	3sA NEG see NEG PST PRF PST 1sS/P IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix	1201 1199 1366 2460 1202 6702 1202 2875 1234	CLDLCh2R05S01.0317	CLDL	Conversation	10948	u.mai	ag.neg	"ag,neg"
cldlch2r05s04	16	70053	u mai lus th e	umalute	3nsS/A NEG dance NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 1584 2458 1234	CLDLCh2R05S04.194	CLDL	Conversation	10950	u.mai	ag.neg	"ag,neg"
cldlch2r05s05	16	73834	u mai tat yokt u ŋs u ce e	umatayoktuŋsuce	3nsS/A NEG bring NEG 3P PRF 3P 3nsP IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix	1201 1199 2207 2460 2459 6702 2459 1204 1234	CLDLCh2R05S05.460	CLDL	Conversation	10951	u.mai	ag.neg	"ag,neg"
cldlch2r08s04	16	107117	u mai thukt yokt e	umathukyokte	3nsS/A NEG cook NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 2303 2460 1234	CLDLCh2R08S04.716	CLDL	Conversation	11176	u.mai	ag.neg	"ag,neg"
cldlch2r03s05	16	54615	u mai ta mai u khat th a ŋs e	umaitamaukhattaŋse	3nsS/A NEG FOC NEG 3nsS/A go NEG PST PRF IND.PST	prefix prefix stem prefix prefix stem suffix suffix suffix suffix	1201 1199 496 1199 1201 1363 2458 1202 6702 1234	CLDLCh2R3S05.139	CLDL	Conversation	10797	mai.u	neg.ag	"ag,neg"
cldlch2r06s03	16	80849	u mai raiʔ yokt e	umaraiʔyokte	3nsS/A NEG crying NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 CP93 2460 1234	CLDLCh2R06S03.260	CLDL	Conversation	11039	u.mai	ag.neg	"ag,neg"
cldlch2r07s02	16	89927	u mai cokt yokt e	umacokyokte	3nsS/A NEG join NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 KK1 2460 1234	CLDLCh2R07S02.194	CLDL	Conversation	11109	u.mai	ag.neg	"ag,neg"
cldlch2r02s02	16	47404	u ma ta u	umatau	3nsS/A 1nseP FOC 3P	prefix prefix stem suffix	1201 656 496 2459	CLDLCh2R02S02.452	CLDL	Conversation	10735	u.mai	ag.neg	"ag,neg"
cldlch2r08s02	16	100663	kha a mai sɨŋs th e	khaãmasuŋteʔ	ask 2S/A NEG ask NEG IND.PST	prefix prefix prefix stem suffix suffix	203 654 1199 204 2458 1234	CLDLCh2R08S02.283	CLDL	Conversation	11202	a.mai	ag.neg	"ag,neg"
cldlch2r02s02	16	47311	kha a mai sɨŋs th u ŋs e	khaamasɨŋtoŋse	ask 2S/A NEG ask NEG 3P PERF IND.PST	prefix prefix prefix stem suffix suffix suffix suffix	203 654 1199 204 2458 2459 6702 1234	CLDLCh2R02S02.426	CLDL	Conversation	10735	a.mai	ag.neg	"ag,neg"
cldlch2r02s04	16	51167	a mai khat yokt e	amakhaiʔyokte	2S/A NEG go NEG IND.PST	prefix prefix stem suffix suffix	654 1199 1363 2460 1234	CLDLCh2R02S04.580	CLDL	Conversation	10738	a.mai	ag.neg	"ag,neg"
cldlch2r08s04	16	106509	a mai cekt yokt a ŋs e	amaicekyoktaŋseʔ	2S/A NEG speak NEG PST PRF IND.PST	prefix prefix stem suffix suffix suffix suffix	654 1199 45 2460 1202 6702 1234	CLDLCh2R08S04.521	CLDL	Conversation	11176	a.mai	ag.neg	"ag,neg"
clldch3r06s02	17	642099	na mai khand th e	namakhanthe	3>2 NEG be.suitable.for NEG IND.PST	prefix prefix stem suffix suffix	1200 1199 1361 2458 1234	CLLDCh3R06S02.1838	CLLD	Conversation	4380	na.mai	pat.neg	"neg,pat"
clldch3r12s03	17	725284	kha a lud ce kV	khaaluceke	1nsP 2S/A tell d IND.NPST	prefix prefix stem suffix suffix	655 654 1575 1203 1682	CLLDCh3R12S03.478	CLLD	Conversation	4589	kha.a	pat.ag	"ag,pat"
origin_myth	18	1169483	mai u numd t e	manunumte	NEG 3nsS/A do NEG IND.PST	prefix prefix stem suffix suffix	1199 1201 1781 2458 1234	origin_myth.541	adult	Narrative	25784	mai.u	neg.ag	"ag,neg"
origin_myth	18	1168842	kha a numd	khaanum	1nsP 2S/A do	prefix prefix stem	655 654 1781	origin_myth.423	adult	Narrative	25784	kha.a	pat.ag	"ag,pat"
origin_myth	18	1167002	ma mai set th a	mamaisettha	1nseP NEG kill NEG IMP	prefix prefix stem suffix suffix	656 1199 452 2458 1236	origin_myth.111	adult	Narrative	25784	ma.mai	pat.neg	"neg,pat"
student_life	19	1245183	u mai id yokt e	umaiyokte	3nsS/A NEG feel.sleepy NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 96 2460 1234	student_life.0041	adult	Narrative	NA	u.mai	ag.neg	"ag,neg"
gen_talk_01	19	1091384	kha u lud no	khauluno	1nsP 3nsS/A tell IND.NPST	prefix prefix stem suffix	655 1201 1575 2330	GEN_TALK_01.317	adult	Conversation	NA	kha.u	pat.ag	"ag,pat"
martyr_story	20	1158925	mai ta u ta yokt e	mantautayokte	NEG FOC 3nsS/A come NEG IND.PST	prefix stem prefix stem suffix suffix	1199 496 1201 2192 2460 1234	martyr_story.477	adult	Conversation	27402	mai.u	neg.ag	"ag,neg"
pear_8-1	21	1196471	u mai hand th a k e	umahantakte	3nsS/A NEG talk NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 117 2458 1202 ROS38 1234	pear_8-1.0643	adult	Experimental	9490	u.mai	ag.neg	"ag,neg"
pear_8-1	21	1196189	u mai lud yokt e	umailuyakte	3nsS/A NEG say.to NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 1575 2460 1234	pear_8-1.0577	adult	Experimental	9490	u.mai	ag.neg	"ag,neg"
pear_8-1	21	1196235	u mai lud yokt e	umailuyokte	3nsS/A NEG say.to NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 1575 2460 1234	pear_8-1.0587	adult	Experimental	9490	u.mai	ag.neg	"ag,neg"
pear_8-1	21	1197294	u mai that th a yakt e	umathathakte	3nsS/A NEG be.visible NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 2261 2458 1202 6674 1234	pear_8-1.0912	adult	Experimental	9490	u.mai	ag.neg	"ag,neg"
pear_8-1	21	1194830	u mai cekt th a yakt e	umacetakte	3nsS/A NEG say NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 45 2458 1202 6674 1234	pear_8-1.0162	adult	Experimental	9490	u.mai	ag.neg	"ag,neg"
pear_8-1	21	1195558	u mai cekt yokt a yakt e	umaicekyaktakte	3nsS/A NEG speak NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 45 2460 1202 6674 1234	pear_8-1.0385	adult	Experimental	9490	u.mai	ag.neg	"ag,neg"
pear_8-1	21	1195836	u mai cekt yokt a yakt e	umaiceyoktakte	3nsS/A NEG say NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 45 2460 1202 6674 1234	pear_8-1.0473	adult	Experimental	9490	u.mai	ag.neg	"ag,neg"
pear_8-1	21	1195326	u mai cekt yokt a yakt e	umaicekyaktakte	3nsS/A NEG say NEG PST IPFV IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 45 2460 1202 6674 1234	pear_8-1.0313	adult	Experimental	9490	u.mai	ag.neg	"ag,neg"
pear_8-1	21	1195117	u mai cekt yokt a hatt e	umaiceyoktate	3nsS/A NEG speak NEG PST COMPL.TR IND.PST	prefix prefix stem suffix suffix suffix suffix	1201 1199 45 2460 1202 6701 1234	pear_8-1.0254	adult	Experimental	9490	u.mai	ag.neg	"ag,neg"
pear_8-1	21	1194848	u mai cekt yokt e	umaicektakte	3nsS/A NEG speak NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 45 2460 1234	pear_8-1.0167	adult	Experimental	9490	u.mai	ag.neg	"ag,neg"
pear_8-1	21	1197112	u mai set yokt e	umaiseiʔyokte	3nsS/A NEG kill NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 452 2460 1234	pear_8-1.0856	adult	Experimental	9490	u.mai	ag.neg	"ag,neg"
clldch3r12s03	22	725259	a mai hid yokt e kha	amahioktekha	2S/A NEG can NEG IND.PST NMLZ	prefix prefix stem suffix suffix suffix	654 1199 127 2460 1234 1335	CLLDCh3R12S03.468	CLLD	Conversation	3066	a.mai	ag.neg	"ag,neg"
ctn_talk02	23	1038593	mai u numd yokt e	maunumyokte	NEG 3nsS/A do NEG IND.PST	prefix prefix stem suffix suffix	1199 1201 1781 2460 1234	Ctn_talk02.160	adult	Conversation	20075	mai.u	neg.ag	"ag,neg"
clldch3r12s06	24	729414	a mai pid th u ŋs u m e	amapitusumhẽ	2S/A NEG give NEG 3P PRF 3P 1/2nsA IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix	654 1199 363 2458 2459 6702 2459 1683 1234	CLLDCh3R12S06.787	CLLD	Conversation	6328	a.mai	ag.neg	"ag,neg"
dihi_khahare	24	1061549	kha u lud a yakt a kha	khauludaktakha	1nsP 3nsS/A tell PST IPFV PST NMLZ	prefix prefix stem suffix suffix suffix suffix	655 1201 1575 1202 6674 1202 1335	dihi_khahare.413	adult	Conversation	7210	kha.u	pat.ag	"ag,pat"
dr_exp	25	1066503	a mai lis th e	amailithe	2S/A NEG be NEG IND.PST	prefix prefix stem suffix suffix	654 1199 1558 2458 1234	DR_exp.0114	adult	Conversation	NA	a.mai	ag.neg	"ag,neg"
clldch1r06s02	26	276161	u mai hid t a ŋs a kha	umaihitaŋsakha	3nsS/A NEG be.able NEG PST PRF PST NMLZ	prefix prefix stem suffix suffix suffix suffix suffix	1201 1199 127 2458 1202 6702 1202 1335	CLLDCh1R06S02.1074	CLLD	Conversation	3956	u.mai	ag.neg	"ag,neg"
clldch1r06s01	26	272476	u mai kop yokt e	umaikopyokte	3nsS/A NEG pick.up NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 1453 2460 1234	CLLDCh1R06S01.1682	CLLD	Conversation	3955	u.mai	ag.neg	"ag,neg"
durga_exp	27	1070511	u mai ŋis yokt e	umainiyokte	3nsS/A NEG know NEG IND.PST	prefix prefix stem suffix suffix	1201 1199 335 2460 1234	Durga_Exp.08	adult	Description	12775	u.mai	ag.neg	"ag,neg"
durga_job	27	1071831	kha u pid a ŋs e	khaupidaŋse	1nsP 3nsS/A give PST PRF IND.PST	prefix prefix stem suffix suffix suffix	655 1201 363 1202 6702 1234	Durga_job.0166	adult	Narrative	12775	kha.u	pat.ag	"ag,pat"
durga_job	27	1071802	kha u pid a ŋs e	khaupidaŋse	1nsP 3nsS/A give PST PRF IND.PST	prefix prefix stem suffix suffix suffix	655 1201 363 1202 6702 1234	Durga_job.0160	adult	Narrative	12775	kha.u	pat.ag	"ag,pat"
durga_job	27	1071436	kha a cind a go	khaacindago	1nsP 2S/A teach PST NMLZ	prefix prefix stem suffix suffix	655 654 922 1202 1119	Durga_job.0097	adult	Narrative	12775	kha.a	pat.ag	"ag,pat"
durga_job	27	1071459	kha a cind no	khaacinno	1nsP 2S/A teach IND.NPST	prefix prefix stem suffix	655 654 922 2330	Durga_job.0102	adult	Narrative	12775	kha.a	pat.ag	"ag,pat"
clldch4r04s03	28	824183	na mai pid yokt a ce e	namaipiyoktace	3>2 NEG give NEG PST d IND.PST	prefix prefix stem suffix suffix suffix suffix	1200 1199 363 2460 1202 1203 1234	CLLDCh4R04S03.0431	CLLD	Conversation	14566	na.mai	pat.neg	"neg,pat"
clldch4r04s03	28	824248	a mai ca yokt a ŋs e kha	amacayoktaŋsekha	2S/A NEG eat NEG PST PRF IND.PST NMLZ	prefix prefix stem suffix suffix suffix suffix suffix	654 1199 771 2460 1202 6702 1234 1335	CLLDCh4R04S03.0458	CLLD	Conversation	14566	a.mai	ag.neg	"ag,neg"
clldch4r01s05a	28	773159	a ma catt ce	amacacce	2S/A 1nseP strike d	prefix prefix stem suffix	654 656 799 1203	CLLDCh4R01S05a.0701	CLLD	Conversation	14480	a.ma	ag.pat	"ag,pat"
ctn_aware	29	1009245	mai a khems yokt u m ŋs u m e	maakhemyoktumsumme	NEG 2S/A hear NEG 3P 1/2nsA PRF 3P 1/2nsA IND.PST	prefix prefix stem suffix suffix suffix suffix suffix suffix suffix	1199 654 1370 2460 2459 1683 6702 2459 1683 1234	ctn_aware.133	adult	Conversation	NA	mai.a	neg.ag	"ag,neg"
