LID	Language	Stock	HOST.CAT	Category	Position.binned5	SLOTS	SLOTS.USED	PARTITION	ENTROPY	PROB	CLUST.INDEX
12	Ainu	Ainu	V	P	prae	3	2	[2, 2]	1.0	0.222222222222	0.444444444444
2998	Jero	Sino-Tibetan	V	P	post	3	3	[2, 1, 1]	1.5	0.444444444444	0.0
54	Choctaw	Muskogean	V	T	prae	4	1	[4]	0.0	0.015625	0.984375
54	Choctaw	Muskogean	V	G	prae	4	1	[4]	0.0	0.015625	0.984375
54	Choctaw	Muskogean	V	Aditr	post	4	2	[3, 1]	0.811278124459	0.1875	0.796875
1414	Tirmaga	Surmic	V	P	post	5	1	[4]	0.0	0.008	0.992
3062	Iyo	Finisterre-Huon	V	P	post	5	2	[3, 1]	0.811278124459	0.128	0.864
559	Murle	Surmic	V	P	post	6	1	[4]	0.0	0.00462962962963	0.99537037037
1348	Nubian (Kunuz)	Nubian	V	Aditr	post	7	1	[4]	0.0	0.00291545189504	0.997084548105
1348	Nubian (Kunuz)	Nubian	V	S	post	7	1	[4]	0.0	0.00291545189504	0.997084548105
1348	Nubian (Kunuz)	Nubian	V	Atr	post	7	1	[4]	0.0	0.00291545189504	0.997084548105
3093	Dogon (Najamba)	Dogon	V	Aditr	post	1	1	[5]	0.0	1.0	0.0
393	Usan	Madang	V	G	prae	1	1	[5]	0.0	1.0	0.0
3092	Dogon (Ben Tey)	Dogon	V	Atr	post	1	1	[5]	0.0	1.0	0.0
3261	Tapirapé	Tupian	V	S	prae	1	1	[5]	0.0	1.0	0.0
2982	Bariai	Austronesian	V	S	prae	1	1	[5]	0.0	1.0	0.0
2335	Provencal	Indo-European	V	Aditr	post	1	1	[5]	0.0	1.0	0.0
201	Nanai	Tungusic	V	Atr	post	1	1	[5]	0.0	1.0	0.0
2982	Bariai	Austronesian	V	Atr	prae	1	1	[5]	0.0	1.0	0.0
201	Nanai	Tungusic	V	S	post	1	1	[5]	0.0	1.0	0.0
3093	Dogon (Najamba)	Dogon	V	S	post	1	1	[5]	0.0	1.0	0.0
2335	Provencal	Indo-European	V	Atr	post	1	1	[5]	0.0	1.0	0.0
3092	Dogon (Ben Tey)	Dogon	V	Aditr	post	1	1	[5]	0.0	1.0	0.0
3093	Dogon (Najamba)	Dogon	V	Atr	post	1	1	[5]	0.0	1.0	0.0
201	Nanai	Tungusic	V	Aditr	post	1	1	[5]	0.0	1.0	0.0
3092	Dogon (Ben Tey)	Dogon	V	S	post	1	1	[5]	0.0	1.0	0.0
3261	Tapirapé	Tupian	V	P	prae	1	1	[5]	0.0	1.0	0.0
2335	Provencal	Indo-European	V	S	post	1	1	[5]	0.0	1.0	0.0
3096	Dogon (Nanga)	Dogon	V	Atr	post	2	1	[5]	0.0	0.0625	0.9375
533	Quechua (Imbabura)	Quechuan	V	Atr	post	2	1	[5]	0.0	0.0625	0.9375
26	Asmat	Macro-Ok	V	Atr	post	2	1	[5]	0.0	0.0625	0.9375
688	Cora	Uto-Aztecan	V	Atr	prae	2	1	[5]	0.0	0.0625	0.9375
388	Tzutujil	Mayan	V	P	prae	2	1	[5]	0.0	0.0625	0.9375
1155	Cakchiquel	Mayan	V	S	prae	2	1	[5]	0.0	0.0625	0.9375
3096	Dogon (Nanga)	Dogon	V	Aditr	post	2	1	[5]	0.0	0.0625	0.9375
337	Quiche	Mayan	V	S	prae	2	1	[5]	0.0	0.0625	0.9375
337	Quiche	Mayan	V	P	prae	2	1	[5]	0.0	0.0625	0.9375
388	Tzutujil	Mayan	V	S	prae	2	1	[5]	0.0	0.0625	0.9375
688	Cora	Uto-Aztecan	V	Aditr	prae	2	1	[5]	0.0	0.0625	0.9375
533	Quechua (Imbabura)	Quechuan	V	Aditr	post	2	1	[5]	0.0	0.0625	0.9375
1155	Cakchiquel	Mayan	V	P	prae	2	1	[5]	0.0	0.0625	0.9375
678	Bulgarian	Indo-European	V	Aditr	post	2	1	[5]	0.0	0.0625	0.9375
26	Asmat	Macro-Ok	V	S	post	2	1	[5]	0.0	0.0625	0.9375
688	Cora	Uto-Aztecan	V	S	prae	2	1	[5]	0.0	0.0625	0.9375
533	Quechua (Imbabura)	Quechuan	V	S	post	2	1	[5]	0.0	0.0625	0.9375
3096	Dogon (Nanga)	Dogon	V	S	post	2	1	[5]	0.0	0.0625	0.9375
111	Ik	Kuliak	V	Aditr	post	2	1	[5]	0.0	0.0625	0.9375
9	Acehnese	Austronesian	V	P	post	3	1	[5]	0.0	0.0123456790123	0.987654320988
502	Turkish	Turkic	V	S	post	3	1	[5]	0.0	0.0123456790123	0.987654320988
387	Tuva	Turkic	V	Aditr	post	3	1	[5]	0.0	0.0123456790123	0.987654320988
502	Turkish	Turkic	V	Atr	post	3	1	[5]	0.0	0.0123456790123	0.987654320988
502	Turkish	Turkic	V	Aditr	post	3	1	[5]	0.0	0.0123456790123	0.987654320988
1105	Chortí	Mayan	V	P	post	3	1	[5]	0.0	0.0123456790123	0.987654320988
2544	Tepehuan (Southeastern)	Uto-Aztecan	V	P	prae	3	1	[5]	0.0	0.0123456790123	0.987654320988
361	Swahili	Benue-Congo	V	Atr	prae	3	1	[5]	0.0	0.0123456790123	0.987654320988
361	Swahili	Benue-Congo	V	P	prae	3	1	[5]	0.0	0.0123456790123	0.987654320988
361	Swahili	Benue-Congo	V	S	prae	3	1	[5]	0.0	0.0123456790123	0.987654320988
9	Acehnese	Austronesian	V	Atr	prae	3	1	[5]	0.0	0.0123456790123	0.987654320988
113	Ineseño	Chumashan	V	Atr	prae	3	2	[3, 2]	0.970950594455	0.246913580247	0.617283950617
113	Ineseño	Chumashan	V	S	prae	3	2	[3, 2]	0.970950594455	0.246913580247	0.617283950617
2031	Mugil	Madang	V	Atr	post	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
885	Amuesha	Arawakan	V	Aditr	prae	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
885	Amuesha	Arawakan	V	S	prae	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
2251	Olo	Torricelli	V	P	split	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
2031	Mugil	Madang	V	Aditr	post	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
2641	Turkana	Nilotic	V	S	prae	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
2641	Turkana	Nilotic	V	Atr	prae	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
2997	Reyesano	Pano-Tacanan	V	Atr	prae	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
2997	Reyesano	Pano-Tacanan	V	S	prae	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
885	Amuesha	Arawakan	V	Atr	prae	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
2031	Mugil	Madang	V	S	post	3	2	[4, 1]	0.721928094887	0.123456790123	0.864197530864
1763	Khakas	Turkic	V	S	post	4	1	[5]	0.0	0.00390625	0.99609375
1763	Khakas	Turkic	V	Atr	post	4	1	[5]	0.0	0.00390625	0.99609375
1763	Khakas	Turkic	V	Aditr	post	4	1	[5]	0.0	0.00390625	0.99609375
3062	Iyo	Finisterre-Huon	V	Aditr	post	5	1	[5]	0.0	0.0016	0.9984
3062	Iyo	Finisterre-Huon	V	S	post	5	1	[5]	0.0	0.0016	0.9984
3062	Iyo	Finisterre-Huon	V	Atr	post	5	1	[5]	0.0	0.0016	0.9984
1136	Chontal Maya	Mayan	V	P	post	5	2	[3, 2]	0.970950594455	0.064	0.9024
1660	Itzaj	Mayan	V	Atr	split	7	2	[4, 1]	0.721928094887	0.0124947938359	0.987088713036
35	Belhare	Sino-Tibetan	V	S	post	12	3	[2, 2, 1]	1.52192809489	0.0795717592593	0.859375
549	Latvian	Indo-European	V	Atr	post	1	1	[6]	0.0	1.0	0.0
648	Bororo	Macro-Ge	V	S	prae	1	1	[6]	0.0	1.0	0.0
25	Armenian (Eastern)	Indo-European	V	Atr	post	1	1	[6]	0.0	1.0	0.0
3018	Alaba-K’abeena	Cushitic	V	S	NA	1	1	[6]	0.0	1.0	0.0
2063	Majang	Surmic	V	S	post	1	1	[6]	0.0	1.0	0.0
25	Armenian (Eastern)	Indo-European	V	Aditr	post	1	1	[6]	0.0	1.0	0.0
3018	Alaba-K’abeena	Cushitic	V	Atr	NA	1	1	[6]	0.0	1.0	0.0
2063	Majang	Surmic	V	Atr	post	1	1	[6]	0.0	1.0	0.0
645	Hatam	Hatam	V	Atr	prae	1	1	[6]	0.0	1.0	0.0
549	Latvian	Indo-European	V	S	post	1	1	[6]	0.0	1.0	0.0
1416	Dagur	Mongolic	V	Atr	post	1	1	[6]	0.0	1.0	0.0
25	Armenian (Eastern)	Indo-European	V	S	post	1	1	[6]	0.0	1.0	0.0
1578	Golin	Chimbu-Wahgi	V	Atr	post	1	1	[6]	0.0	1.0	0.0
645	Hatam	Hatam	V	S	prae	1	1	[6]	0.0	1.0	0.0
2885	Shughni	Indo-European	V	Atr	NA	1	1	[6]	0.0	1.0	0.0
3269	Tenetehara	Tupian	V	S	prae	1	1	[6]	0.0	1.0	0.0
648	Bororo	Macro-Ge	V	Atr	prae	1	1	[6]	0.0	1.0	0.0
2063	Majang	Surmic	V	Aditr	post	1	1	[6]	0.0	1.0	0.0
3018	Alaba-K’abeena	Cushitic	V	Aditr	NA	1	1	[6]	0.0	1.0	0.0
1578	Golin	Chimbu-Wahgi	V	S	post	1	1	[6]	0.0	1.0	0.0
3269	Tenetehara	Tupian	V	Atr	prae	1	1	[6]	0.0	1.0	0.0
3117	Nepali (Eastern)	Indo-European	V	S	post	1	1	[6]	0.0	1.0	0.0
2885	Shughni	Indo-European	V	S	NA	1	1	[6]	0.0	1.0	0.0
3117	Nepali (Eastern)	Indo-European	V	Atr	post	1	1	[6]	0.0	1.0	0.0
1416	Dagur	Mongolic	V	S	post	1	1	[6]	0.0	1.0	0.0
648	Bororo	Macro-Ge	V	P	prae	1	1	[6]	0.0	1.0	0.0
393	Usan	Madang	V	P	prae	1	1	[6]	0.0	1.0	0.0
648	Bororo	Macro-Ge	V	T	prae	1	1	[6]	0.0	1.0	0.0
3068	Emerillon	Tupian	V	P	prae	2	2	[5, 1]	0.650022421648	0.1875	0.78125
27	Atakapa	Atakapa	V	P	prae	2	1	[6]	0.0	0.03125	0.96875
388	Tzutujil	Mayan	V	Atr	prae	2	1	[6]	0.0	0.03125	0.96875
1063	Baure	Arawakan	V	S	prae	2	1	[6]	0.0	0.03125	0.96875
688	Cora	Uto-Aztecan	V	G	prae	2	1	[6]	0.0	0.03125	0.96875
678	Bulgarian	Indo-European	V	S	post	2	1	[6]	0.0	0.03125	0.96875
688	Cora	Uto-Aztecan	V	P	prae	2	1	[6]	0.0	0.03125	0.96875
22	Anêm	West New Britain	V	Atr	prae	2	1	[6]	0.0	0.03125	0.96875
678	Bulgarian	Indo-European	V	Atr	post	2	1	[6]	0.0	0.03125	0.96875
2628	Tobati	Austronesian	V	P	post	2	1	[6]	0.0	0.03125	0.96875
111	Ik	Kuliak	V	Atr	post	2	1	[6]	0.0	0.03125	0.96875
22	Anêm	West New Britain	V	S	prae	2	1	[6]	0.0	0.03125	0.96875
3068	Emerillon	Tupian	V	S	prae	2	1	[6]	0.0	0.03125	0.96875
3068	Emerillon	Tupian	V	Atr	prae	2	1	[6]	0.0	0.03125	0.96875
3131	Guaraní (Mbyá)	Tupian	V	Atr	prae	2	1	[6]	0.0	0.03125	0.96875
1063	Baure	Arawakan	V	Atr	prae	2	1	[6]	0.0	0.03125	0.96875
337	Quiche	Mayan	V	Atr	prae	2	1	[6]	0.0	0.03125	0.96875
111	Ik	Kuliak	V	S	post	2	1	[6]	0.0	0.03125	0.96875
2548	Teso	Nilotic	V	S	post	3	2	[5, 1]	0.650022421648	0.0493827160494	0.946502057613
2098	Mursi	Surmic	V	Atr	post	3	2	[5, 1]	0.650022421648	0.0493827160494	0.946502057613
2098	Mursi	Surmic	V	S	post	3	2	[5, 1]	0.650022421648	0.0493827160494	0.946502057613
1105	Chortí	Mayan	V	Atr	prae	3	2	[5, 1]	0.650022421648	0.0493827160494	0.946502057613
2548	Teso	Nilotic	V	Atr	post	3	2	[5, 1]	0.650022421648	0.0493827160494	0.946502057613
103	Hua	Eastern Highlands	V	Atr	NA	3	2	[3, 3]	1.0	0.082304526749	0.740740740741
103	Hua	Eastern Highlands	V	Aditr	NA	3	2	[3, 3]	1.0	0.082304526749	0.740740740741
103	Hua	Eastern Highlands	V	S	post	3	2	[3, 3]	1.0	0.082304526749	0.740740740741
103	Hua	Eastern Highlands	V	P	prae	3	1	[6]	0.0	0.00411522633745	0.995884773663
103	Hua	Eastern Highlands	V	G	prae	3	1	[6]	0.0	0.00411522633745	0.995884773663
387	Tuva	Turkic	V	Atr	post	3	1	[6]	0.0	0.00411522633745	0.995884773663
885	Amuesha	Arawakan	V	G	post	3	1	[6]	0.0	0.00411522633745	0.995884773663
2882	Berber (Kabyle)	Berber	V	T	post	3	1	[6]	0.0	0.00411522633745	0.995884773663
885	Amuesha	Arawakan	V	P	post	3	1	[6]	0.0	0.00411522633745	0.995884773663
572	Nahuatl (Tetelcingo)	Uto-Aztecan	V	P	post	3	1	[6]	0.0	0.00411522633745	0.995884773663
387	Tuva	Turkic	V	S	post	3	1	[6]	0.0	0.00411522633745	0.995884773663
2882	Berber (Kabyle)	Berber	V	P	post	3	1	[6]	0.0	0.00411522633745	0.995884773663
1691	Juang	Austroasiatic	V	P	post	3	1	[6]	0.0	0.00411522633745	0.995884773663
332	Pipil	Uto-Aztecan	V	P	prae	3	1	[6]	0.0	0.00411522633745	0.995884773663
956	Nahuatl (Sierra de Zacapoaxtla)	Uto-Aztecan	V	P	prae	3	1	[6]	0.0	0.00411522633745	0.995884773663
2882	Berber (Kabyle)	Berber	V	G	post	3	1	[6]	0.0	0.00411522633745	0.995884773663
682	Yucatec	Mayan	V	Atr	prae	5	2	[4, 2]	0.918295834054	0.0192	0.9728
3044	Gurage (Sebat Bet)	Semitic	V	T	post	5	1	[6]	0.0	0.00032	0.99968
3044	Gurage (Sebat Bet)	Semitic	V	G	post	5	1	[6]	0.0	0.00032	0.99968
21	Amharic	Semitic	V	P	post	5	1	[6]	0.0	0.00032	0.99968
3044	Gurage (Sebat Bet)	Semitic	V	P	post	5	1	[6]	0.0	0.00032	0.99968
1775	Kulung	Sino-Tibetan	V	Atr	post	5	4	[2, 2, 1, 1]	1.91829583405	0.3456	0.1152
2360	Camling	Sino-Tibetan	V	S	post	6	4	[2, 2, 1, 1]	1.91829583405	0.347222222222	0.246913580247
908	Athpare	Sino-Tibetan	V	S	prae	10	4	[2, 2, 1, 1]	1.91829583405	0.2268	0.6048
2873	Bantawa	Sino-Tibetan	V	S	prae	10	4	[2, 2, 1, 1]	1.91829583405	0.2268	0.6048
2996	Yakkha	Sino-Tibetan	V	S	post	13	6	[1, 1, 1, 1, 1, 1]	2.58496250072	0.255970352255	0.0
2862	Chintang	Sino-Tibetan	V	S	prae	13	4	[2, 2, 1, 1]	1.91829583405	0.15998147016	0.735914762735
1704	Kamaiurá	Tupian	V	S	prae	1	1	[7]	0.0	1.0	0.0
2447	Slovene	Indo-European	V	Atr	post	1	1	[7]	0.0	1.0	0.0
2447	Slovene	Indo-European	V	S	post	1	1	[7]	0.0	1.0	0.0
3250	Xingú Asuriní	Tupian	V	S	prae	1	1	[7]	0.0	1.0	0.0
2476	Sirionó	Tupian	V	P	prae	1	1	[7]	0.0	1.0	0.0
3261	Tapirapé	Tupian	V	Atr	prae	1	1	[7]	0.0	1.0	0.0
3131	Guaraní (Mbyá)	Tupian	V	P	prae	2	2	[6, 1]	0.591672778582	0.109375	0.875
167	Maa	Nilotic	V	Atr	prae	2	2	[6, 1]	0.591672778582	0.109375	0.875
571	Tamazight (Ayt Ndhir)	Berber	V	S	prae	2	2	[4, 3]	0.985228136034	0.546875	0.0
3040	Tamashek (Mali)	Berber	V	Atr	prae	2	2	[4, 3]	0.985228136034	0.546875	0.0
3042	Tamashek (Burkin Faso)	Berber	V	Atr	prae	2	2	[4, 3]	0.985228136034	0.546875	0.0
3040	Tamashek (Mali)	Berber	V	S	prae	2	2	[4, 3]	0.985228136034	0.546875	0.0
571	Tamazight (Ayt Ndhir)	Berber	V	Atr	prae	2	2	[4, 3]	0.985228136034	0.546875	0.0
3039	Ghomara	Berber	V	Atr	prae	2	2	[4, 3]	0.985228136034	0.546875	0.0
3042	Tamashek (Burkin Faso)	Berber	V	S	prae	2	2	[4, 3]	0.985228136034	0.546875	0.0
3039	Ghomara	Berber	V	S	prae	2	2	[4, 3]	0.985228136034	0.546875	0.0
750	Berber (Figuig)	Berber	V	Atr	prae	2	2	[4, 3]	0.985228136034	0.546875	0.0
750	Berber (Figuig)	Berber	V	S	prae	2	2	[4, 3]	0.985228136034	0.546875	0.0
1954	Menya	Angan	V	Aditr	post	2	1	[7]	0.0	0.015625	0.984375
1954	Menya	Angan	V	Atr	post	2	1	[7]	0.0	0.015625	0.984375
1954	Menya	Angan	V	P	prae	2	1	[7]	0.0	0.015625	0.984375
871	Araki	Austronesian	V	S	prae	2	1	[7]	0.0	0.015625	0.984375
1954	Menya	Angan	V	S	post	2	1	[7]	0.0	0.015625	0.984375
22	Anêm	West New Britain	V	P	post	2	1	[7]	0.0	0.015625	0.984375
1954	Menya	Angan	V	G	prae	2	1	[7]	0.0	0.015625	0.984375
871	Araki	Austronesian	V	Atr	prae	2	1	[7]	0.0	0.015625	0.984375
2882	Berber (Kabyle)	Berber	V	Aditr	prae	3	2	[4, 3]	0.985228136034	0.0960219478738	0.825788751715
1791	Baale	Surmic	V	S	post	3	2	[6, 1]	0.591672778582	0.0192043895748	0.979423868313
1791	Baale	Surmic	V	Atr	post	3	2	[6, 1]	0.591672778582	0.0192043895748	0.979423868313
2251	Olo	Torricelli	V	S	prae	3	1	[7]	0.0	0.00137174211248	0.998628257888
2869	Yagaria	Eastern Highlands	V	S	post	3	1	[7]	0.0	0.00137174211248	0.998628257888
2869	Yagaria	Eastern Highlands	V	Atr	post	3	1	[7]	0.0	0.00137174211248	0.998628257888
2251	Olo	Torricelli	V	Atr	prae	3	1	[7]	0.0	0.00137174211248	0.998628257888
2251	Olo	Torricelli	V	Aditr	prae	3	1	[7]	0.0	0.00137174211248	0.998628257888
1136	Chontal Maya	Mayan	V	Atr	prae	5	3	[3, 3, 1]	1.44881563573	0.05376	0.83328
1775	Kulung	Sino-Tibetan	V	S	post	5	3	[4, 2, 1]	1.37878349349	0.08064	0.88704
632	Hayu	Sino-Tibetan	V	Atr	post	5	4	[3, 2, 1, 1]	1.84237099318	0.32256	0.37632
632	Hayu	Sino-Tibetan	V	S	post	5	4	[3, 2, 1, 1]	1.84237099318	0.32256	0.37632
2360	Camling	Sino-Tibetan	V	Atr	post	6	5	[2, 2, 1, 1, 1]	2.23592635063	0.270061728395	0.054012345679
2999	Old Thulung (Mukli)	Sino-Tibetan	V	S	post	6	5	[2, 2, 1, 1, 1]	2.23592635063	0.270061728395	0.054012345679
667	Thulung (Mukli)	Sino-Tibetan	V	S	post	6	5	[2, 2, 1, 1, 1]	2.23592635063	0.270061728395	0.054012345679
637	Yamphu	Sino-Tibetan	V	S	post	9	4	[3, 2, 1, 1]	1.84237099318	0.132771088418	0.812432612463
2996	Yakkha	Sino-Tibetan	V	P	post	13	7	[1, 1, 1, 1, 1, 1, 1]	2.80735492206	0.137830189676	1.11022302463e-16
2996	Yakkha	Sino-Tibetan	V	Atr	post	13	7	[1, 1, 1, 1, 1, 1, 1]	2.80735492206	0.137830189676	1.11022302463e-16
1704	Kamaiurá	Tupian	V	P	prae	1	1	[8]	0.0	1.0	0.0
3250	Xingú Asuriní	Tupian	V	Atr	prae	1	1	[8]	0.0	1.0	0.0
2865	Wambule	Sino-Tibetan	V	S	post	3	3	[4, 2, 2]	1.5	0.192043895748	0.256058527663
2882	Berber (Kabyle)	Berber	V	S	prae	3	3	[4, 3, 1]	1.40563906223	0.256058527663	0.448102423411
2882	Berber (Kabyle)	Berber	V	Atr	post	3	3	[4, 3, 1]	1.40563906223	0.256058527663	0.448102423411
2998	Jero	Sino-Tibetan	V	S	post	3	3	[4, 3, 1]	1.40563906223	0.256058527663	0.448102423411
2869	Yagaria	Eastern Highlands	V	P	post	3	1	[8]	0.0	0.000457247370828	0.999542752629
681	Khanty	Uralic	V	S	post	3	1	[8]	0.0	0.000457247370828	0.999542752629
681	Khanty	Uralic	V	Atr	post	3	1	[8]	0.0	0.000457247370828	0.999542752629
1691	Juang	Austroasiatic	V	Atr	prae	3	3	[5, 2, 1]	1.2987949407	0.153635116598	0.704160951075
